Day,Hour,Temp,Dir,Spd
176,19,0.327645051,50,0.137254902
176,20,0.33447099,60,0.098039216
176,21,0.33447099,20,0.166666667
176,22,0.33447099,40,0.117647059
176,23,0.348122867,40,0.166666667
176,24,0.344709898,90,0.166666667
177,1,0.351535836,70,0.215686275
177,2,0.351535836,90,0.245098039
177,3,0.348122867,110,0.284313725
177,4,0.344709898,100,0.196078431
177,5,0.344709898,120,0.225490196
177,6,0.344709898,110,0.235294118
177,7,0.348122867,110,0.284313725
177,8,0.348122867,120,0.382352941
177,9,0.354948805,110,0.480392157
177,10,0.372013652,120,0.450980392
177,11,0.361774744,120,0.470588235
177,12,0.375426621,120,0.431372549
177,13,0.38225256,120,0.333333333
177,14,0.38225256,110,0.421568627
177,15,0.395904437,110,0.382352941
177,16,0.399317406,110,0.441176471
177,17,0.402730375,110,0.382352941
177,18,0.409556314,100,0.343137255
177,19,0.412969283,110,0.352941176
177,20,0.419795222,120,0.303921569
177,21,0.42662116,110,0.333333333
177,22,0.423208191,120,0.401960784
177,23,0.416382253,110,0.343137255
177,24,0.416382253,120,0.401960784
